"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","79026","test_booking_page_bus_details[data0]","tests","2026-05-23","passed","2026-05-23","","test_booking_validation_positive","",""
"","126823","test_complete_bus_booking_flow[booking0]","tests","2026-05-23","passed","2026-05-23","","test_e2e_booking","",""
"","33687","test_same_source_destination[data0]","tests","2026-05-23","passed","2026-05-24","","test_same_source_destination_negative","",""
"","56587","test_sleeper_filter[data0]","tests","2026-05-23","passed","2026-05-23","","test_filter_validation_positive","",""
"","65205","test_selected_seat_verification[data0]","tests","2026-05-24","passed","2026-05-24","","test_seat_validation_positive","",""
"","56200","test_bus_search_headline[data0]","tests","2026-05-23","passed","2026-05-23","","test_route_validation_positive","",""
"","52799","test_no_bus_available[data0]","tests","2026-05-23","passed","2026-05-23","","test_no_bus_available_negative","",""
